Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,180,5,Some Random Commen with Id 0
1,1,9,138,1,Some Random Commen with Id 1
2,2,1,194,2,Some Random Commen with Id 2
3,2,1,159,1,Some Random Commen with Id 3
4,3,9,33,2,Some Random Commen with Id 4
5,4,7,31,3,Some Random Commen with Id 5
6,4,7,148,3,Some Random Commen with Id 6
7,4,7,136,0,Some Random Commen with Id 7
8,4,7,25,0,Some Random Commen with Id 8
9,4,7,67,5,Some Random Commen with Id 9
10,6,2,42,7,Some Random Commen with Id 10
11,6,2,174,7,Some Random Commen with Id 11
12,6,2,1,5,Some Random Commen with Id 12
13,6,2,57,2,Some Random Commen with Id 13
14,6,2,0,6,Some Random Commen with Id 14
15,6,2,17,7,Some Random Commen with Id 15
16,7,4,19,4,Some Random Commen with Id 16
17,7,4,136,2,Some Random Commen with Id 17
18,7,4,172,9,Some Random Commen with Id 18
19,7,4,199,8,Some Random Commen with Id 19
20,7,4,71,7,Some Random Commen with Id 20
21,7,4,119,7,Some Random Commen with Id 21
22,10,9,0,0,Some Random Commen with Id 22
23,10,9,115,4,Some Random Commen with Id 23
24,10,9,59,5,Some Random Commen with Id 24
25,10,9,140,9,Some Random Commen with Id 25
26,10,9,148,9,Some Random Commen with Id 26
27,10,9,27,8,Some Random Commen with Id 27
28,10,9,61,0,Some Random Commen with Id 28
29,10,9,116,9,Some Random Commen with Id 29
30,10,9,104,4,Some Random Commen with Id 30
31,11,6,109,1,Some Random Commen with Id 31
32,11,6,91,1,Some Random Commen with Id 32
33,11,6,132,3,Some Random Commen with Id 33
34,11,6,101,5,Some Random Commen with Id 34
35,11,6,128,1,Some Random Commen with Id 35
36,11,6,179,7,Some Random Commen with Id 36
37,11,6,9,6,Some Random Commen with Id 37
38,11,6,7,6,Some Random Commen with Id 38
39,11,6,115,2,Some Random Commen with Id 39
40,12,6,160,0,Some Random Commen with Id 40
41,12,6,147,9,Some Random Commen with Id 41
42,12,6,47,8,Some Random Commen with Id 42
43,12,6,96,7,Some Random Commen with Id 43
44,12,6,167,4,Some Random Commen with Id 44
45,12,6,50,3,Some Random Commen with Id 45
46,12,6,44,5,Some Random Commen with Id 46
47,12,6,95,4,Some Random Commen with Id 47
48,13,0,71,2,Some Random Commen with Id 48
49,13,0,79,1,Some Random Commen with Id 49
50,13,0,149,6,Some Random Commen with Id 50
51,13,0,169,1,Some Random Commen with Id 51
52,13,0,88,9,Some Random Commen with Id 52
53,13,0,30,5,Some Random Commen with Id 53
54,13,0,10,1,Some Random Commen with Id 54
55,13,0,0,6,Some Random Commen with Id 55
56,13,0,68,2,Some Random Commen with Id 56
57,14,0,20,8,Some Random Commen with Id 57
58,14,0,151,7,Some Random Commen with Id 58
59,14,0,36,5,Some Random Commen with Id 59
60,14,0,119,8,Some Random Commen with Id 60
61,14,0,168,8,Some Random Commen with Id 61
62,14,0,11,2,Some Random Commen with Id 62
63,15,8,95,7,Some Random Commen with Id 63
64,15,8,159,1,Some Random Commen with Id 64
65,15,8,157,2,Some Random Commen with Id 65
66,15,8,128,4,Some Random Commen with Id 66
67,15,8,126,8,Some Random Commen with Id 67
68,15,8,20,6,Some Random Commen with Id 68
69,15,8,66,6,Some Random Commen with Id 69
70,15,8,57,5,Some Random Commen with Id 70
71,15,8,100,2,Some Random Commen with Id 71
72,16,7,116,4,Some Random Commen with Id 72
73,17,4,50,9,Some Random Commen with Id 73
74,17,4,185,0,Some Random Commen with Id 74
75,18,8,119,1,Some Random Commen with Id 75
76,19,0,144,1,Some Random Commen with Id 76
77,19,0,129,3,Some Random Commen with Id 77
78,19,0,77,9,Some Random Commen with Id 78
79,19,0,177,8,Some Random Commen with Id 79
80,19,0,89,8,Some Random Commen with Id 80
81,19,0,88,9,Some Random Commen with Id 81
82,20,4,191,2,Some Random Commen with Id 82
83,20,4,169,9,Some Random Commen with Id 83
84,21,4,34,1,Some Random Commen with Id 84
85,21,4,169,2,Some Random Commen with Id 85
86,21,4,78,3,Some Random Commen with Id 86
87,21,4,12,2,Some Random Commen with Id 87
88,22,0,139,6,Some Random Commen with Id 88
89,22,0,185,0,Some Random Commen with Id 89
90,22,0,17,4,Some Random Commen with Id 90
91,22,0,97,9,Some Random Commen with Id 91
92,22,0,1,7,Some Random Commen with Id 92
93,22,0,52,6,Some Random Commen with Id 93
94,22,0,142,3,Some Random Commen with Id 94
95,22,0,115,7,Some Random Commen with Id 95
96,23,9,27,8,Some Random Commen with Id 96
97,23,9,80,8,Some Random Commen with Id 97
98,23,9,109,6,Some Random Commen with Id 98
99,23,9,88,0,Some Random Commen with Id 99
100,23,9,196,9,Some Random Commen with Id 100
101,23,9,46,2,Some Random Commen with Id 101
102,24,5,46,6,Some Random Commen with Id 102
103,24,5,32,4,Some Random Commen with Id 103
104,24,5,96,6,Some Random Commen with Id 104
105,25,1,100,5,Some Random Commen with Id 105
106,25,1,194,8,Some Random Commen with Id 106
107,25,1,130,8,Some Random Commen with Id 107
108,25,1,72,6,Some Random Commen with Id 108
109,25,1,107,5,Some Random Commen with Id 109
110,25,1,68,2,Some Random Commen with Id 110
111,25,1,31,7,Some Random Commen with Id 111
112,25,1,71,3,Some Random Commen with Id 112
113,26,8,7,2,Some Random Commen with Id 113
114,26,8,111,3,Some Random Commen with Id 114
115,26,8,131,3,Some Random Commen with Id 115
116,27,3,121,4,Some Random Commen with Id 116
117,27,3,131,9,Some Random Commen with Id 117
118,27,3,41,2,Some Random Commen with Id 118
119,27,3,189,6,Some Random Commen with Id 119
120,28,0,6,6,Some Random Commen with Id 120
121,29,1,84,9,Some Random Commen with Id 121
122,29,1,9,2,Some Random Commen with Id 122
123,29,1,75,6,Some Random Commen with Id 123
124,29,1,155,1,Some Random Commen with Id 124
125,29,1,167,1,Some Random Commen with Id 125
126,30,1,115,3,Some Random Commen with Id 126
127,30,1,2,8,Some Random Commen with Id 127
128,30,1,36,1,Some Random Commen with Id 128
129,30,1,7,5,Some Random Commen with Id 129
130,30,1,118,6,Some Random Commen with Id 130
131,30,1,109,8,Some Random Commen with Id 131
132,30,1,33,8,Some Random Commen with Id 132
133,31,4,46,1,Some Random Commen with Id 133
134,31,4,27,0,Some Random Commen with Id 134
135,31,4,108,7,Some Random Commen with Id 135
136,31,4,189,7,Some Random Commen with Id 136
137,31,4,169,6,Some Random Commen with Id 137
138,31,4,76,7,Some Random Commen with Id 138
139,31,4,127,0,Some Random Commen with Id 139
140,31,4,104,9,Some Random Commen with Id 140
141,32,6,196,4,Some Random Commen with Id 141
142,32,6,79,1,Some Random Commen with Id 142
143,32,6,86,9,Some Random Commen with Id 143
144,33,8,17,3,Some Random Commen with Id 144
145,33,8,18,5,Some Random Commen with Id 145
146,34,3,88,4,Some Random Commen with Id 146
147,34,3,42,5,Some Random Commen with Id 147
148,34,3,111,2,Some Random Commen with Id 148
149,34,3,61,8,Some Random Commen with Id 149
150,34,3,5,6,Some Random Commen with Id 150
151,34,3,95,3,Some Random Commen with Id 151
152,34,3,79,8,Some Random Commen with Id 152
153,34,3,112,1,Some Random Commen with Id 153
154,34,3,51,3,Some Random Commen with Id 154
155,35,7,167,1,Some Random Commen with Id 155
156,35,7,187,0,Some Random Commen with Id 156
157,35,7,106,8,Some Random Commen with Id 157
158,36,1,173,3,Some Random Commen with Id 158
159,37,4,118,8,Some Random Commen with Id 159
160,37,4,106,0,Some Random Commen with Id 160
161,37,4,65,8,Some Random Commen with Id 161
162,37,4,164,1,Some Random Commen with Id 162
163,37,4,146,1,Some Random Commen with Id 163
164,37,4,145,3,Some Random Commen with Id 164
165,37,4,99,3,Some Random Commen with Id 165
166,38,0,150,5,Some Random Commen with Id 166
167,38,0,177,4,Some Random Commen with Id 167
168,38,0,9,1,Some Random Commen with Id 168
169,38,0,9,7,Some Random Commen with Id 169
170,38,0,188,7,Some Random Commen with Id 170
171,38,0,161,8,Some Random Commen with Id 171
172,38,0,47,4,Some Random Commen with Id 172
173,39,2,100,2,Some Random Commen with Id 173
174,39,2,54,1,Some Random Commen with Id 174
175,39,2,94,2,Some Random Commen with Id 175
176,39,2,6,8,Some Random Commen with Id 176
